Matter_ID,RMS_CaseNumber_Standardized,Compldrug_use_alc
5191947,04-87569,1
5164194,98-36192,1
5161492,05-51,1
5151073,08-398764,1
5135876,94-37973,1
5121994,09-39045,1
5180640,96-88842,1
5181101,96-48130,1
5141959,94-83060,1
5124828,96-3213,1
5111526,93-88404,1
5149514,08-474313,1
5187477,97-49210,1
5181086,96-38942,1
5202791,09-147165,1
5153388,0727637,1
5117375,94-67282,1
5178250,96-33920,1
5117369,95-98614,1
5144268,94-92884,1
5116677,05-341523,1
5151058,08-459332,1
5158445,06-393573,1
5171458,00-213481,1
5186442,03-136158,1
5199955,08-145035,1
5141820,98-47532,1
5144141,04-533812,1
5164195,04-533834,1
5188062,06-160553,1
5189487,0324650,1
5146584,07-794,1
5187756,02-424649,1
5170140,93-41331,1
5151427,07-81861,1
5168161,96-1758,1
5156179,08-236673,1
5180992,96-37163,1
5121953,93-76514,1
5186656,04-546068,1
5180608,96-65973,1
5116034,12-347276,1
5198273,07-174257,1
5180288,00-96073162,1
5117584,94-83885,1
5108697,02-411145,1
5123469,93-88469,1
5123775,12-970,1
5111428,95-22,1
5173370,97-63265,1
5128329,96-73514,1
5180056,96-55969,1
5192025,04-541507,1
5190660,94-68320,1
5187773,08-294186,1
5187781,03-10148,1
5193271,05-201688,1
5138785,96-14699,1
5175408,96-27364,1
5094167,12-116403,1
5117352,95-36091,1
5187481,96-86114,1
5124854,96-39011,1
5128331,96-83854,1
5124854,96-65900,1
5129785,97-2514,1
5158163,05-513245,1
5125863,96-44014,1
5132408,98-14992,1
5151241,95-41277,1
5110037,93-70315,1
5115730,94-15520,1
5183579,93-62393,1
5150816,08-84903,1
5135767,94-33499,1
5135871,94-35310,1
5159017,08-72641,1
5116095,92-54013,1
5107647,95-66372,1
5151231,95-34780,1
5138653,94-60931,1
5145632,95-47656,1
5110340,95-93440,1
5116431,93-55533,1
5124705,95-36538,1
5111133,94-24302,1
5115968,94-44822,1
5178321,96-38844,1
5163638,06-165143,1
5141361,99-87193,1
5153582,07-461898,1
5146395,05-465324,1
5163182,06-513191,1
5175419,96-29829,1
5187670,09-214467,1
5188056,06-155119,1
5170069,01-384016,1
5127036,96-68759,1
5140514,00-437681,1
5178219,96-32033,1
5180613,96-79221,1
5158053,95-61678,1
5146107,03-429844,1
5187715,01-8328,1
5124844,95-97218,1
5162181,96-21699,1
5125161,96-9921,1
5190658,94-67929,1
5140566,00-171191,1
5202932,09-217414,1
5158111,06-484460,1
5180029,96-44566,1
5186672,06-408424,1
5192616,05-59686,1
5149493,09-242707,1
5162975,08-9561,1
5178187,94-25593,1
5199955,08-144667,1
5212597,10-9590,1
5135496,98-91066,1
5151092,08-219153,1
5210900,01-9-7066,1
5178245,96-32725,1
5140471,98-21227,1
5200971,08-267790,1
5186983,03-298304,1
5103967,96-33171,1
5151085,08-384874,1
5183402,02-296424,1
5187845,04-276109,1
5180583,96-46803,1
5139344,98-51787,1
5180044,96-55387,1
5159509,05-491543,1
5161184,04-354051,1
5160991,04-273750,1
5153429,07-146967,1
5110061,93-88590,1
5128481,94-47006,1
5151091,09-240974,1
5180077,96-49705,1
5170379,11-358437,1
5143874,05-408291,1
5180058,96-56280,1
5134829,98-36397,1
5147430,08-6636,1
5180575,96-43144,1
5125432,95-78769,1
5188421,98-103409,1
5212177,09-409658,1
5127211,96-1064701,1
5159674,05-112562,1
5163992,95-64072,1
5149529,12-86630,1
5151890,07-33423,1
5158278,08-834445,1
5130157,96-25412,1
5168159,96-4246,1
5144711,01-296437,1
5106633,95-50557,1
5137702,94-48164,1
5121414,95-28942,1
5161969,03-215611,1
5132531,09-13778,1
5114247,95-94301,1
5138555,94-68586,1
5109685,93-51996,1
5115289,94-42628,1
5151257,95-25893,1
5137702,94-28625,1
5157113,95-30976,1
5135348,94-49031,1
5115290,94-37436,1
5132159,94-18716,1
5150262,08-305209,1
5139509,94-79376,1
5151054,07-337611,1
5123251,96-55018,1
5127586,94-115,1
5134827,98-35242,1
5109199,93-19603,1
5117130,94-73354,1
5161969,08-29909,1
5151078,08-375133,1
5141658,00-425165,1
5107935,93-30041,1
5137688,98-50301,1
5122111,95-57283,1
5111213,93-93369,1
5125067,95-51437,1
5116095,92-22477,1
5156435,06-242570,1
5111375,94-60753,1
5109951,93-33187,1
5127680,94-5952,1
5128877,96-54718,1
5138712,94-71282,1
5150184,08-364713,1
5114278,94-27399,1
5147970,03-503645,1
5112377,99-33127,1
5112377,94-40148,1
5124090,95-82235,1
5132285,96-76703,1
5110371,93-51995,1
5111520,93-41116,1
5147985,95-23664,1
5151244,95-39609,1
5156179,06-79702,1
5142423,01-306585,1
5192242,03-416832,1
5213151,10-71249,1
5180587,96-48527,1
5188322,02-310756,1
5177716,93-90286,1
5188364,02-596084,1
5188371,03-4740,1
5194710,00-316196,1
5186667,06-354147,1
5153602,07-408767,1
5164336,03-269378,1
5187960,04-186160,1
5147984,95-23451,1
5213143,10-69589,1
5199198,07-392211,1
5133406,97-78511,1
5187965,04-177367,1
5180422,96-72763,1
5144151,00-209862,1
5195017,01-114056,1
5199776,08-72124,1
5199785,08-84540,1
5145672,03-483632,1
5200935,08-334254,1
5123390,93-82359,1
5124825,96-7360,1
5195162,01-465767,1
5150837,07-393580,1
5172859,01-116005,1
5187797,03-152447,1
5193312,05-209522,1
5135690,98-5361,1
5162695,95-77493,1
5180074,96-49856,1
5186987,07-48820,1
5188808,06-53627,1
5198662,07-229641,1
5198977,03-16233,1
5147002,03-133738,1
5155534,06-145772,1
5156576,05-378141,1
5175398,96-25595,1
5181692,97-52094,1
5186483,04-100382,1
5188005,04-268559,1
5173370,96-101025,1
5184938,99-77318,1
5103967,98-49582,1
5171769,00-310223,1
5190475,94-39513,1
5151050,09-2544,1
5184455,97-27509,1
5174901,96-21394,1
5124657,95-82113,1
5162762,05-93453,1
5122846,96-1374,1
5135501,99-45557,1
5139347,99-34751,1
5139347,99-34751,1
5186655,04-283130,1
5188467,04-427318,1
5199739,08-57620,1
5214613,10-97139,1
5216432,10-136144,1
5135041,97-41573,1
5150598,97-82909,1
5111205,08-201492,1
5128398,96-101083,1
5108102,93-24225,1
5136692,98-93089,1
5200881,08-241989,1
5114220,94-14961,1
5191181,03-160287,1
5133425,97-37016,1
5180610,96-67685,1
5188322,02-310756,1
5141958,94-78981,1
5125139,02-614122,1
5161108,05-380007,1
5186991,07-93505,1
5202828,09-201551,1
5175314,03-287868,1
5182338,97-91175,1
5151151,08-285546,1
5196134,06-254039,1
5175418,96-29199,1
5133392,96-60734,1
5200983,08-370207,1
5193647,05-254564,1
5175415,96-28164,1
5186586,92-25650,1
