Matter_ID,RMS_CaseNumber_Standardized,Compldefense_gave_defense
5135876,94-37973,1
5155072,14-1972,1
5151378,07-387676,1
5111526,93-88404,1
5171458,00-213481,1
5186442,03-136158,1
5187756,02-424649,1
5148551,08-7025,1
5111199,10-247169,1
5145907,95-10810,1
5147702,03-548654,1
5174942,96-22177,1
5181730,97-54624,1
5110405,93-76620,1
5105761,96-45754,1
5123133,95-75897,1
5130601,01-29300,1
5180992,96-37163,1
5133649,97-5282,1
5180608,96-65973,1
5198273,07-174257,1
5180174,96-62118,1
5128271,97-96641,1
5156025,06-150531,1
5182328,97-87651,1
5199160,07-373522,1
5180288,00-96073162,1
5115256,94-58078,1
5116425,93-69400,1
5116095,93-78071,1
5145911,95-12880,1
5178264,96-34485,1
5123775,12-970,1
5111428,95-22,1
5124087,95-6413,1
5157902,08-132481,1
5180208,96-71557,1
5178346,94048860,1
5198189,07-173044,1
5173370,97-63265,1
5180056,96-55969,1
5192025,04-541507,1
5151273,95-31123,1
5138638,94-55841,1
5186424,03-24684,1
5195641,05-550174,1
5172946,96-11873,1
5187773,08-294186,1
5117366,94-67459,1
5187724,01-205494,1
5145359,08-17787,1
5110403,93-62660,1
5187781,03-10148,1
5186993,07-62080,1
5193271,05-201688,1
5109914,06-290589,1
5156025,06-125010,1
5153564,07-270675,1
5175408,96-27364,1
5116433,94-45285,1
5109583,93-91574,1
5117352,95-36091,1
5187481,96-86114,1
5124854,96-65900,1
5149877,01-428320,1
5129785,97-2514,1
5110280,93-29317,1
5127219,11-27146,1
5158209,07-6473,1
5161618,04-41146,1
5143010,94-64315,1
5124641,95-85811,1
5175420,96-30856,1
5176450,00-178334,1
5180609,96-66541,1
5125863,98-99555,1
5125863,96-44014,1
5132408,98-14992,1
5151241,95-41277,1
5127656,94-1416,1
5110340,93-83798,1
5155711,95-39527,1
5115730,94-15520,1
5183579,93-62393,1
5132173,94-26563,1
5150816,08-84903,1
5123453,93-84945,1
5116095,92-54013,1
5151231,95-34780,1
5120109,95-40577,1
5118186,94-51192,1
5146747,14-276602,1
5144271,94-94917,1
5114809,93-66940,1
5144283,94-97290,1
5106695,05-547566,1
5135012,94-1623,1
5124085,02-410762,1
5137616,98-83610,1
5107651,93-40294,1
5117273,95-18523,1
5132183,94-19501,1
5135883,94-41863,1
5135904,94-47498,1
5157945,95-47592,1
5123251,96-42748,1
5115968,94-44822,1
5112721,94-23432,1
5178321,96-38844,1
5197962,06-300714,1
5124629,04-311897,1
5139720,00-309352,1
5197724,06-264391,1
5192582,05-73325,1
5163638,06-165143,1
5061515,01-5440,1
5190797,96-7635,1
5143373,12-57440,1
5110808,93-36472,1
5201161,08-452341,1
5146395,05-465324,1
5163182,06-513191,1
5175419,96-29829,1
5187670,09-214467,1
5188056,06-155119,1
5162207,04-478518,1
5170378,15-29761,1
5134534,05-289331,1
5140514,00-437681,1
5178219,96-32033,1
5180613,96-79221,1
5171043,03-505611,1
5123732,95-68830,1
5171043,03-391205,1
5106717,09-87793,1
5164195,05-26549,1
5176071,00-164061,1
5204332,09-374334,1
5144075,01-532588,1
5200943,08-242673,1
5129210,96-96273,1
5158122,06-66220,1
5146107,03-429844,1
5124844,95-97218,1
5125161,96-9921,1
5138785,98-73211,1
5180046,96-45917,1
5188472,04-452484,1
5140566,00-171191,1
5202932,09-217414,1
5158111,06-484460,1
5180029,96-44566,1
5192616,05-59686,1
5164371,04-191011,1
5111426,94-1076,1
5151086,02-473134,1
5184317,99-31688,1
5184317,99-31688,1
5186491,04-163384,1
5194656,00-259265,1
5181901,97-71264,1
5187903,04-267908,1
5127220,08-191388,1
5162975,08-9561,1
5181704,97-52721,1
5178215,95044057,1
5212597,10-9590,1
5193768,05-328709,1
5115256,93-94487,1
5135887,94-42868,1
5151258,95-27240,1
5149922,94-86101,1
5151092,08-219153,1
5210900,01-9-7066,1
5131716,97-90470,1
5180416,96-43138,1
5135906,94-48826,1
5151352,08-18439,1
5198861,07-242007,1
5108733,93-29186,1
5178245,96-32725,1
5183128,02-119780,1
5140471,98-21227,1
5162153,02-474684,1
5200971,08-267790,1
5042972,03-118961,1
5201499,09-103198,1
5128258,96-30485,1
5187780,03-5499,1
5195636,05-542665,1
5147304,98-49,1
5111201,93-88420,1
5151085,08-384874,1
5115256,94-32981,1
5177796,01-103314,1
5195641,05-550174,1
5183402,02-296424,1
5187757,02-452247,1
5187834,07-102280,1
5165866,08-8527,1
5181857,97-63330,1
5187845,04-276109,1
5164075,95-69880,1
5151375,07-283396,1
5158008,95-52606,1
5181193,00-328544,1
5180583,96-46803,1
5139344,98-51787,1
5180183,96-67687,1
5187929,03-398504,1
5162207,04-431430,1
5180044,96-55387,1
5150821,07-209294,1
5159509,05-491543,1
5201007,08-389008,1
5191946,04-172688,1
5156025,14-361090,1
5153429,07-146967,1
5127752,94-11232,1
5121994,97-73941,1
5110061,93-88590,1
5128481,94-47006,1
5151091,09-240974,1
5115293,94-47406,1
5118183,94-74355,1
5127684,94-6624,1
5135951,98-51649,1
5180077,96-49705,1
5170379,11-358437,1
5143874,05-408291,1
5135955,98-54204,1
5122223,97-133,1
5187928,04-174607,1
5170074,03-228145,1
5171621,01-259390,1
5124737,09-91172,1
5180058,96-56280,1
5144127,08-453852,1
5201284,09-70966,1
5154674,06-80300,1
5134829,98-36397,1
5147430,08-6636,1
5180575,96-43144,1
5125432,95-78769,1
5130225,02-456618,1
5180588,96-60035,1
5144872,97-3099,1
5179720,02-84884,1
5187708,96-4545,1
5181882,97-71005,1
5149528,08-15520,1
5147495,04-250425,1
5188421,98-103409,1
5212177,09-409658,1
5127211,96-1064701,1
5193679,05-300237,1
5128399,96-101538,1
5149529,12-86630,1
5164061,95-59335,1
5151430,07-326919,1
5168434,95-96564,1
5178352,96-42982,1
5130157,96-25412,1
5168159,96-4246,1
5118802,95-83085,1
5126468,96-28667,1
5154675,06-147391,1
5150815,07-489577,1
5180592,96-52684,1
5143961,08-6540,1
5125147,95-84031,1
5154908,99-74278,1
5154908,99-76525,1
5137702,94-48164,1
5108738,94-1867,1
5110062,93-71196,1
5121414,95-28942,1
5121955,93-77667,1
5161969,03-215611,1
5157896,95-41902,1
5147497,09-97043,1
5132531,09-13778,1
5124699,95-78608,1
5111137,95-13107,1
5158014,95-55612,1
5135869,94-33703,1
5109685,93-51996,1
5151257,95-25893,1
5137702,94-28625,1
5146008,95-118,1
5157113,95-30976,1
5151264,95-29448,1
5111529,94-6131,1
5134959,95-4268,1
5138660,94-62229,1
5110048,93-28276,1
5108735,93-38803,1
5152316,07-291994,1
5141964,94-84139,1
5155542,06-253764,1
5135872,94-35767,1
5150262,08-305209,1
5139509,94-79376,1
5151054,07-337611,1
5127586,94-115,1
5117130,94-73354,1
5151078,08-375133,1
5141658,00-425165,1
5125067,95-51437,1
5116095,92-22477,1
5111375,94-60753,1
5127764,94-14255,1
5138712,94-71282,1
5150588,95-28656,1
5111738,95-59921,1
5113996,94-17777,1
5120123,95-58494,1
5145642,06-417303,1
5125239,94-29465,1
5120118,95-52853,1
5120158,94-66998,1
5136563,00-265549,1
5147981,95-20757,1
5121193,95-54610,1
5137688,99-21022,1
5108811,94-96168,1
5110037,93-65296,1
5110406,93-81204,1
5112307,93-58405,1
5115156,94-36532,1
5123401,93-84316,1
5116675,94-60764,1
5142265,96-39115,1
5110429,93-50862,1
5116292,94-95376,1
5111197,93-76160,1
5138714,94-71665,1
5114443,93-15842,1
5107289,94-25756,1
5107730,94-13457,1
5127648,94-17353,1
5132124,94-15709,1
5132820,94-14099,1
5137104,94-85130,1
5137104,97-21008,1
5138358,03-335679,1
5147975,95-15774,1
5159017,05-129647,1
5117147,94-60746,1
5158020,95-59228,1
5107652,93-40722,1
5108732,93-22684,1
5110217,93-53332,1
5112316,94-31278,1
5114246,94-44863,1
5114443,93-85143,1
5114443,94-15496,1
5121193,95-35696,1
5127693,94-10074,1
5127791,94-78972,1
5127844,95-47264,1
5127844,96-48846,1
5129678,05-337503,1
5135759,94-30368,1
5136220,98-54876,1
5137688,99-59973,1
5138655,94-62153,1
5138716,94-71921,1
5149521,08-343998,1
5151230,95-33489,1
5152477,11-255629,1
5157934,95-45878,1
5147970,03-503645,1
5112377,99-33127,1
5112377,94-40148,1
5132285,96-76703,1
5118166,94-58765,1
5109951,11-219019,1
5132176,94-27740,1
5147985,95-23664,1
5151244,95-39609,1
5156179,06-79702,1
5139723,06-474594,1
5147490,03-404571,1
5142423,01-306585,1
5180025,96-44212,1
5188564,06-200380,1
5192242,03-416832,1
5199011,07-321895,1
5183339,98-68773,1
5193683,05-284056,1
5183179,98-71482,1
5186373,03-351174,1
5129709,97-16664,1
5192241,03-467798,1
5180587,96-48527,1
5187920,03-358229,1
5188317,02-268223,1
5177716,93-90286,1
5188364,02-596084,1
5188371,03-4740,1
5186667,06-354147,1
5124848,96-49540,1
5153602,07-408767,1
5164336,03-269378,1
5141922,00-19616,1
5162674,97-223,1
5178627,94-8902,1
5186355,03-357539,1
5180185,96-68125,1
5128260,96-32654,1
5186524,06-53716,1
5187912,04-33278,1
5187960,04-186160,1
5147984,95-23451,1
5213143,10-69589,1
5199198,07-392211,1
5134299,98-2784,1
5168423,95-92027,1
5186659,06-10098,1
5131699,97-15163,1
5200962,08-288452,1
5124083,97-4264,1
5162697,95-76439,1
5176408,03-265046,1
5180176,96-63569,1
5181934,01-306263,1
5182315,97-85246,1
5192832,05-89686,1
5103967,00-313962,1
5133675,97-29280,1
5110813,93-94466,1
5164114,95-73986,1
5201212,94-65624,1
5133406,97-78511,1
5187965,04-177367,1
5180422,96-72763,1
5144151,00-209862,1
5195017,01-114056,1
5199776,08-72124,1
5199785,08-84540,1
5173370,97-90205,1
5166129,06-671,1
5178271,96-35021,1
5132810,97-73971,1
5138572,99-52748,1
5178102,94-7182,1
5200935,08-334254,1
5186351,03-365908,1
5171094,00-106345,1
5182137,96-46892,1
5187802,03-257180,1
5144074,00-459783,1
5159011,99-9226,1
5123390,93-82359,1
5124825,96-7360,1
5138042,99-64429,1
5151355,07-226100,1
5140796,04-529,1
5150837,07-393580,1
5187797,03-152447,1
5193312,05-209522,1
5162695,95-77493,1
5180074,96-49856,1
5120482,94-29248,1
5128353,96-94693,1
5214923,10-110917,1
5139720,96-87592,1
5155534,06-145772,1
5156576,05-378141,1
5186483,04-100382,1
5188005,04-268559,1
5184938,99-77318,1
5144110,99-11859,1
5183590,06-322635,1
5184448,95-100000,1
5121932,93-75107,1
5108038,95-99257,1
5111527,93-96176,1
5118502,95-94880,1
5127779,96-38760,1
5132801,97-58565,1
5134820,98-32104,1
5135622,01-532597,1
5136204,98-51869,1
5139214,99-47847,1
5141740,99-63989,1
5148708,09-120114,1
5148826,00-448053,1
5154974,95-80732,1
5163998,95-64582,1
5169269,96-4553,1
5170379,01-480896,1
5170732,01-303410,1
5177705,93-87523,1
5183350,98-79147,1
5183983,98-10498,1
5184004,99-5966,1
5187810,03-237551,1
5187843,06-219173,1
5192843,05-119009,1
5133395,97-39911,1
5138045,99-73036,1
5180723,97-27892,1
5061502,01-81729,1
5150380,08-372683,1
5123732,00-175959,1
5187729,97-98908,1
5133622,97-13743,1
5187800,03-251818,1
5146668,01-411161,1
5187962,04-333556,1
5107283,05-281380,1
5124475,96-65573,1
5125872,96-21782,1
5134357,95-99991,1
5135445,99-6033,1
5138570,98-20065,1
5166064,96-6290,1
5180586,96-47603,1
5181833,97-65402,1
5187731,98-15412,1
5171769,00-310223,1
5184455,97-27509,1
5174901,96-21394,1
5151311,08-164246,1
5201169,09-16772,1
5170797,01-497256,1
5192490,05-31447,1
5114814,94-52493,1
5187921,04-212520,1
5124657,95-82113,1
5162762,05-93453,1
5122846,96-1374,1
5135501,99-45557,1
5139347,99-34751,1
5186655,04-283130,1
5188467,04-427318,1
5199739,08-57620,1
5216432,10-136144,1
5135041,97-41573,1
5150598,97-82909,1
5111205,08-201492,1
5128398,96-101083,1
5108102,93-24225,1
5136692,98-93089,1
5200881,08-241989,1
5118493,94-86418,1
5153519,03-471148,1
5191181,03-160287,1
5133425,97-37016,1
5194631,08-7430,1
5150600,07-288829,1
5168148,96-827,1
5125139,02-614122,1
5159747,05-36215,1
5164021,95-67305,1
5188012,04-425879,1
5185260,03-396535,1
5129774,07-8771,1
5202828,09-201551,1
5187851,03-273793,1
5199111,07-334124,1
5175314,03-287868,1
5147706,09-272910,1
5124632,11-250042,1
5182338,97-91175,1
5167676,93-17835,1
5196134,06-254039,1
5190797,96-7635,1
5190797,96-7635,1
5199111,07-334124,1
5175418,96-29199,1
5180585,96-50539,1
5193769,05-333148,1
5181082,96-31916,1
5138024,98-7204,1
5138644,94-57602,1
5120192,95-2633,1
5127914,95-16596,1
5133295,96-13266,1
5164000,95-64599,1
5186497,04-194971,1
5180755,97-19609,1
5200983,08-370207,1
5162447,04-467774,1
5193647,05-254564,1
5187808,03-262413,1
5193765,05-325251,1
5193160,05-168358,1
5136742,97-69159,1
5144728,99-19755,1
5175415,96-28164,1
5164188,98-8704,1
5199111,07-334124,1
5186586,92-25650,1
