Matter_ID,RMS_CaseNumber_Standardized,Suspdrug_use_alc
5191947,04-87569,1
5164194,98-36192,1
5141959,94-83060,1
5124828,96-3213,1
5194282,05-356324,1
5178250,96-33920,1
5117369,95-98614,1
5144268,94-92884,1
5116677,05-341523,1
5151058,08-459332,1
5158445,06-393573,1
5171458,00-213481,1
5186442,03-136158,1
5199955,08-145035,1
5141820,98-47532,1
5144141,04-533812,1
5164195,04-533834,1
5188062,06-160553,1
5146584,07-794,1
5187756,02-424649,1
5130601,01-29300,1
5187730,01-469210,1
5151427,07-81861,1
5168161,96-1758,1
5116034,12-347276,1
5140497,01-114576,1
5198273,07-174257,1
5109534,93-77886,1
5123469,93-88469,1
5123775,12-970,1
5111428,95-22,1
5128329,96-73514,1
5180056,96-55969,1
5192025,04-541507,1
5190660,94-68320,1
5151273,95-31123,1
5187773,08-294186,1
5187781,03-10148,1
5175408,96-27364,1
5094167,12-116403,1
5124854,96-39011,1
5129785,97-2514,1
5125863,98-99555,1
5125863,96-44014,1
5132408,98-14992,1
5115256,94-10722,1
5115730,94-15520,1
5183579,93-62393,1
5150816,08-84903,1
5159017,08-72641,1
5151231,95-34780,1
5138653,94-60931,1
5145632,95-47656,1
5123251,96-42748,1
5115968,94-44822,1
5182360,01-530359,1
5192582,05-73325,1
5163638,06-165143,1
5110808,93-36472,1
5141361,99-87193,1
5174872,96-19210,1
5146395,05-465324,1
5163182,06-513191,1
5187670,09-214467,1
5188056,06-155119,1
5140514,00-437681,1
5178219,96-32033,1
5180613,96-79221,1
5166764,04-475843,1
5124250,95-92773,1
5132348,99-79705,1
5138785,98-73211,1
5163986,95-61235,1
5187991,07-126612,1
5180046,96-45917,1
5188472,04-452484,1
5123133,98-93232,1
5190658,94-67929,1
5140566,00-171191,1
5202932,09-217414,1
5158111,06-484460,1
5180029,96-44566,1
5186672,06-408424,1
5192616,05-59686,1
5111426,94-1076,1
5149493,09-242707,1
5181704,97-52721,1
5178215,95044057,1
5199955,08-144667,1
5212597,10-9590,1
5135496,98-91066,1
5151092,08-219153,1
5210900,01-9-7066,1
5198861,07-242007,1
5108733,93-29186,1
5178245,96-32725,1
5140471,98-21227,1
5042972,03-118961,1
5187812,03-269454,1
5186983,03-298304,1
5103967,96-33171,1
5111201,93-88420,1
5151085,08-384874,1
5182647,98-42945,1
5187845,04-276109,1
5164075,95-69880,1
5159509,05-491543,1
5201007,08-389008,1
5153429,07-146967,1
5110061,93-88590,1
5128481,94-47006,1
5151091,09-240974,1
5127684,94-6624,1
5143874,05-408291,1
5135955,98-54204,1
5122223,97-133,1
5180058,96-56280,1
5134829,98-36397,1
5147430,08-6636,1
5180575,96-43144,1
5125432,95-78769,1
5147495,04-250425,1
5188421,98-103409,1
5212177,09-409658,1
5127211,96-1064701,1
5128399,96-101538,1
5151890,07-33423,1
5158278,08-834445,1
5168159,96-4246,1
5143961,08-6540,1
5120151,95-42381,1
5137702,94-48164,1
5161969,03-215611,1
5132531,09-13778,1
5109685,93-51996,1
5115289,94-42628,1
5151257,95-25893,1
5137702,94-28625,1
5157113,95-30976,1
5115290,94-37436,1
5132159,94-18716,1
5110048,93-28276,1
5108735,93-38803,1
5150262,08-305209,1
5139509,94-79376,1
5117130,94-73354,1
5161969,08-29909,1
5151078,08-375133,1
5141658,00-425165,1
5107935,93-30041,1
5137688,98-50301,1
5127764,94-14255,1
5138712,94-71282,1
5150184,08-364713,1
5118166,94-58765,1
5109951,11-219019,1
5132176,94-27740,1
5138646,94-59021,1
5138713,94-71601,1
5147977,95-17019,1
5110371,93-51995,1
5111520,93-41116,1
5147985,95-23664,1
5151244,95-39609,1
5156179,06-79702,1
5142423,01-306585,1
5180025,96-44212,1
5188017,06-402609,1
5192242,03-416832,1
5183179,98-71482,1
5213151,10-71249,1
5180587,96-48527,1
5177716,93-90286,1
5188364,02-596084,1
5188371,03-4740,1
5194710,00-316196,1
5186667,06-354147,1
5141922,00-19616,1
5162674,97-223,1
5199198,07-392211,1
5134299,98-2784,1
5144151,00-209862,1
5195017,01-114056,1
5199776,08-72124,1
5199785,08-84540,1
5145672,03-483632,1
5178325,94048147,1
5186351,03-365908,1
5159011,99-9226,1
5123390,93-82359,1
5187797,03-152447,1
5193312,05-209522,1
5135690,98-5361,1
5162695,95-77493,1
5180074,96-49856,1
5186987,07-48820,1
5188808,06-53627,1
5198662,07-229641,1
5198977,03-16233,1
5147002,03-133738,1
5175398,96-25595,1
5181692,97-52094,1
5186483,04-100382,1
5151311,08-164246,1
5201169,09-16772,1
5137633,99-59418,1
5170797,01-497256,1
5181335,00-36414,1
5141796,99-10604,1
5192490,05-31447,1
5114814,94-52493,1
5187921,04-212520,1
5124657,95-82113,1
5162762,05-93453,1
5122846,96-1374,1
5135501,99-45557,1
5139347,99-34751,1
5139347,99-34751,1
5186655,04-283130,1
5188467,04-427318,1
5199739,08-57620,1
5214613,10-97139,1
5216432,10-136144,1
5135041,97-41573,1
5150598,97-82909,1
5111205,08-201492,1
5128398,96-101083,1
5108102,93-24225,1
5136692,98-93089,1
5200881,08-241989,1
5114220,94-14961,1
5191181,03-160287,1
5133425,97-37016,1
5194631,08-7430,1
5125139,02-614122,1
5185260,03-396535,1
5186991,07-93505,1
5202828,09-201551,1
5199111,07-334124,1
5175314,03-287868,1
5181727,00-556496,1
5151151,08-285546,1
5199111,07-334124,1
5130646,97-46943,1
5146470,95-6346,1
5164000,95-64599,1
5180755,97-19609,1
5162447,04-467774,1
5193647,05-254564,1
5144728,99-19755,1
5199111,07-334124,1
5186586,92-25650,1
